source	name	url	format	bytes	checksum	role	verified
un-wpp2024-total-population	WPP2024_TotalPopulationBySex.csv.gz	https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_TotalPopulationBySex.csv.gz		16980593			HEAD 200 2026-09-25
un-wpp2024-demographic-indicators	WPP2024_Demographic_Indicators_Medium.csv.gz	https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_Demographic_Indicators_Medium.csv.gz		16557272			HEAD 200 2026-09-25
owid-population-longrun	population.csv	https://ourworldindata.org/grapher/population.csv?v=1&csvType=full&useColumnShortNames=false		1594182			HEAD 200 2026-09-25
dplace-societies	content	https://zenodo.org/api/records/18229037/files/D-PLACE/dplace-cldf-v3.3.0.zip/content		11838759			HEAD 200 2026-09-25
epr-core-2021	EPR-2021.csv	https://icr.ethz.ch/data/epr/core/EPR-2021.csv		331121			HEAD 200 2026-09-25
gene-ontology-basic	go-basic.obo	http://purl.obolibrary.org/obo/go/go-basic.obo		32227785			HEAD 200 2026-09-25
chebi-full	chebi.obo.gz	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi.obo.gz		47162742			HEAD 200 2026-09-25
chebi-lite	chebi_lite.obo.gz	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi_lite.obo.gz		7852321			HEAD 200 2026-09-25
uberon-basic	uberon-basic.obo	http://purl.obolibrary.org/obo/uberon/uberon-basic.obo		12078648			HEAD 200 2026-09-25
cell-ontology-basic	cl-basic.obo	http://purl.obolibrary.org/obo/cl/cl-basic.obo		3347518			HEAD 200 2026-09-25
disease-ontology	doid.obo	http://purl.obolibrary.org/obo/doid.obo		7221215			HEAD 200 2026-09-25
mondo	mondo.obo	http://purl.obolibrary.org/obo/mondo.obo		53134854			HEAD 200 2026-09-25
human-phenotype-ontology	hp.obo	http://purl.obolibrary.org/obo/hp.obo		10863613			HEAD 200 2026-09-25
environment-ontology	envo.obo	http://purl.obolibrary.org/obo/envo.obo		2922713			HEAD 200 2026-09-25
ncit-flat	Thesaurus.FLAT.zip	https://evs.nci.nih.gov/ftp1/NCI_Thesaurus/Thesaurus.FLAT.zip		16195233			HEAD 200 2026-09-25
ncbi-taxonomy	taxdump.tar.gz	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz			url:https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz.md5		HEAD 200 2026-09-25
catalogue-of-life-coldp	latest_coldp.zip	https://download.catalogueoflife.org/col/latest_coldp.zip		1020360106			HEAD 200 2026-09-25
gbif-backbone-taxonomy	backbone.zip	https://hosted-datasets.gbif.org/datasets/backbone/current/backbone.zip		971465842			HEAD 200 2026-09-25
icd-11-mms	SimpleTabulation-ICD-11-MMS-en.zip	https://icdcdn.who.int/static/releasefiles/2026-01/SimpleTabulation-ICD-11-MMS-en.zip		4214980			HEAD 200 2026-09-25
qudt-units	qudt-all.ttl	https://qudt.org/download/3.5.2/qudt-all.ttl		6867319			HEAD 200 2026-09-25
unified-astronomy-thesaurus	UAT.rdf	https://raw.githubusercontent.com/astrothesaurus/UAT/master/UAT.rdf		3216148			HEAD 200 2026-09-25
